Prec. graph	mMin	mMax
Mertens 	3 	5 
Mertens 	4 	5 
Bowman		3 	5 
Bowman		4 	5 
Jaeschke 	3 	7 
Jaeschke 	4 	7 
Jaeschke 	5 	7 
Jaeschke 	6 	7 
Jackson 	3 	7 
Jackson 	4 	7 
Jackson 	5 	7 
Mansoor 	3 	5 
Mansoor 	4 	5 
Mitchell 	3 	9 
Mitchell 	4 	9 
Mitchell 	6 	9 
Mitchell 	7 	9 
Roszieg 	3 	10 
Roszieg 	4 	10 
Roszieg 	7 	10 
Roszieg 	9 	10 
Heskiaoff 	3 	10 
Heskiaoff 	5 	10 
Heskiaoff 	6 	10 
Heskiaoff 	7 	10 
Heskiaoff 	8 	10 
Heskiaoff 	9 	10 
Buxey 	3 	13 
Buxey 	4 	13 
Buxey 	6 	13 
Buxey 	6 	7 
Buxey 	9 	13 
Buxey 	10 	11 
Buxey 	10 	13 
Sawyer 	3 	13 
Sawyer 	4 	13 
Sawyer 	5 	13 
Sawyer 	6 	13 
Sawyer 	6 	7 
Sawyer 	9 	13 
Sawyer 	10 	11 
Sawyer 	10 	13 
Lutz1 	3 	11 
Lutz1 	5 	11 
Lutz1 	6 	11 
Lutz1 	7 	11 
Lutz1 	8 	11 
Lutz1 	10 	11 
Gunther 	3 	13 
Gunther 	4 	13 
Gunther 	5 	13 
Gunther 	6 	13 
Gunther 	6 	8 
Gunther 	10 	13 
Gunther 	11 	13 
Gunther 	12 	13 
Kilbridge 	3 	11 
Kilbridge 	4 	11 
Kilbridge 	5 	11 
Kilbridge 	7 	11 
Kilbridge 	9 	11 
Kilbridge 	10 	11 
Hahn 	3 	4 
Hahn 	3 	8 
Hahn 	6 	8 
Hahn 	7 	8 
Warnecke 	3 	30 
Warnecke 	4 	30 
Warnecke 	5 	30 
Warnecke 	7 	30 
Warnecke 	10 	30 
Warnecke 	11 	13 
Warnecke 	11 	30 
Warnecke 	15 	30 
Warnecke 	16 	17 
Warnecke 	19 	20 
Warnecke 	19 	30 
Warnecke 	22 	30 
Warnecke 	25 	30 
Warnecke 	27 	30 
Warnecke 	28 	30 
Tonge 	3 	23 
Tonge 	4 	23 
Tonge 	6 	23 
Tonge 	7 	23 
Tonge 	10 	23 
Tonge 	11 	12 
Tonge 	14 	23 
Tonge 	16 	17 
Tonge 	16 	23 
Tonge 	19 	23 
Tonge 	20 	23 
Tonge 	21 	23 
Wee-Mag 	3 	38 
Wee-Mag 	4 	38 
